messstelle_id,e32,e32num,n32,n32num,genau
10000008,306827,306827.0,5625490,5625490.0,1
10000010,2935XX,293550.0,56452XX,5645250.0,100
10000021,3127XX,312750.0,56604XX,5660450.0,100
10000033,3070XX,307050.0,56583XX,5658350.0,100
10000045,2993XX,299350.0,56505XX,5650550.0,100
10000057,3041XX,304150.0,56531XX,5653150.0,100
10000069,3064XX,306450.0,56429XX,5642950.0,100
10000070,3162XX,316250.0,56462XX,5646250.0,100
10000082,2952XX,295250.0,56388XX,5638850.0,100
10000094,2928XX,292850.0,56325XX,5632550.0,100
10000100,3214XX,321450.0,56490XX,5649050.0,100
10000112,2905XX,290550.0,56284XX,5628450.0,100
10000124,3231XX,323150.0,56406XX,5640650.0,100
10000136,3055XX,305550.0,56342XX,5634250.0,100
10000148,3179XX,317950.0,56366XX,5636650.0,100
10000150,3005XX,300550.0,56342XX,5634250.0,100
10000161,3310XX,331050.0,56120XX,5612050.0,100
10000173,3283XX,328350.0,56043XX,5604350.0,100
10000185,3155XX,315550.0,55866XX,5586650.0,100
10000197,3237XX,323750.0,56314XX,5631450.0,100
10009231,3170XX,317050.0,56584XX,5658450.0,100
10009243,3123XX,312350.0,56583XX,5658350.0,100
10009255,3039XX,303950.0,56364XX,5636450.0,100
10099451,3029XX,302950.0,56150XX,5615050.0,100
10099463,2976XX,297650.0,56642XX,5664250.0,100
10099475,3086XX,308650.0,56509XX,5650950.0,100
10099487,3082XX,308250.0,56209XX,5620950.0,100
10099499,3113XX,311350.0,56464XX,5646450.0,100
10099505,3356XX,335650.0,55862XX,5586250.0,100
10099517,3064XX,306450.0,56531XX,5653150.0,100
10099529,2890XX,289050.0,56605XX,5660550.0,100
10099530,3322XX,332250.0,56014XX,5601450.0,100
10099542,3011XX,301150.0,56311XX,5631150.0,100
10099554,3013XX,301350.0,56309XX,5630950.0,100
10099566,3013XX,301350.0,56370XX,5637050.0,100
10099578,3013XX,301350.0,56370XX,5637050.0,100
10099580,3015XX,301550.0,56373XX,5637350.0,100
10099591,3012XX,301250.0,56371XX,5637150.0,100
10099608,3012XX,301250.0,56371XX,5637150.0,100
10099610,3013XX,301350.0,56371XX,5637150.0,100
10099621,3013XX,301350.0,56371XX,5637150.0,100
10099633,3013XX,301350.0,56371XX,5637150.0,100
10099645,3013XX,301350.0,56371XX,5637150.0,100
10099657,3013XX,301350.0,56370XX,5637050.0,100
10099669,3012XX,301250.0,56370XX,5637050.0,100
10099670,3011XX,301150.0,56370XX,5637050.0,100
10099682,3011XX,301150.0,56371XX,5637150.0,100
10099694,3012XX,301250.0,56371XX,5637150.0,100
10099700,2960XX,296050.0,56318XX,5631850.0,100
10099712,2960XX,296050.0,56318XX,5631850.0,100
10099724,2960XX,296050.0,56318XX,5631850.0,100
10099736,3061XX,306150.0,56543XX,5654350.0,100
10099748,3198XX,319850.0,55939XX,5593950.0,100
10099750,2992XX,299250.0,56606XX,5660650.0,100
10099761,3432XX,343250.0,55998XX,5599850.0,100
10099773,3116XX,311650.0,56291XX,5629150.0,100
10099785,3118XX,311850.0,56292XX,5629250.0,100
10099797,3121XX,312150.0,56296XX,5629650.0,100
10099803,3121XX,312150.0,56296XX,5629650.0,100
10099815,3116XX,311650.0,56292XX,5629250.0,100
10099827,2980XX,298050.0,56608XX,5660850.0,100
10099839,330892,330892.0,5595776,5595776.0,1
10099840,295546,295546.0,5665808,5665808.0,1
10099852,298295,298295.0,5634424,5634424.0,1
10099864,3089XX,308950.0,56508XX,5650850.0,100
10099876,3357XX,335750.0,56193XX,5619350.0,100
10099888,3357XX,335750.0,56193XX,5619350.0,100
10099890,3383XX,338350.0,56108XX,5610850.0,100
10099906,3341XX,334150.0,56197XX,5619750.0,100
10099918,3341XX,334150.0,56197XX,5619750.0,100
10099920,3431XX,343150.0,56065XX,5606550.0,100
10099931,3430XX,343050.0,56065XX,5606550.0,100
10099943,3430XX,343050.0,56065XX,5606550.0,100
10099955,3269XX,326950.0,56218XX,5621850.0,100
10099967,335348,335348.0,5605306,5605306.0,1
10099979,334646,334646.0,5604224,5604224.0,1
10099980,3346XX,334650.0,56042XX,5604250.0,100
10099992,3205XX,320550.0,56294XX,5629450.0,100
10100003,3169XX,316950.0,55994XX,5599450.0,100
10100015,2966XX,296650.0,56475XX,5647550.0,100
10100027,3019XX,301950.0,56437XX,5643750.0,100
10100039,2954XX,295450.0,56299XX,5629950.0,100
10100052,3085XX,308550.0,56377XX,5637750.0,100
10131218,3331XX,333150.0,56152XX,5615250.0,100
10131310,3331XX,333150.0,56152XX,5615250.0,100
10132314,3342XX,334250.0,56183XX,5618350.0,100
10132326,3342XX,334250.0,56183XX,5618350.0,100
10133010,3368XX,336850.0,56138XX,5613850.0,100
10133112,3368XX,336850.0,56138XX,5613850.0,100
10133318,3436XX,343650.0,56132XX,5613250.0,100
10133410,3436XX,343650.0,56133XX,5613350.0,100
10135017,3474XX,347450.0,56226XX,5622650.0,100
10137210,3459XX,345950.0,56168XX,5616850.0,100
10200022,3257XX,325750.0,56339XX,5633950.0,100
10200058,2945XX,294550.0,56586XX,5658650.0,100
10200060,3105XX,310550.0,56472XX,5647250.0,100
10200071,3108XX,310850.0,56689XX,5668950.0,100
10200095,3001XX,300150.0,56664XX,5666450.0,100
10200101,2895XX,289550.0,56598XX,5659850.0,100
10200113,3137XX,313750.0,56561XX,5656150.0,100
10200137,3123XX,312350.0,56423XX,5642350.0,100
10200149,3275XX,327550.0,56278XX,5627850.0,100
10200150,2891XX,289150.0,56567XX,5656750.0,100
10200162,3019XX,301950.0,56707XX,5670750.0,100
10200186,3240XX,324050.0,56326XX,5632650.0,100
10200198,3255XX,325550.0,56309XX,5630950.0,100
10200230,3128XX,312850.0,56347XX,5634750.0,100
10200265,2875XX,287550.0,56549XX,5654950.0,100
10200277,3207XX,320750.0,56363XX,5636350.0,100
10200307,3189XX,318950.0,56392XX,5639250.0,100
10200332,2928XX,292850.0,56638XX,5663850.0,100
10200356,3156XX,315650.0,56325XX,5632550.0,100
10200370,3110XX,311050.0,56634XX,5663450.0,100
10200381,3178XX,317850.0,56425XX,5642550.0,100
10200400,2964XX,296450.0,56547XX,5654750.0,100
10200411,3261XX,326150.0,55875XX,5587550.0,100
10200423,3116XX,311650.0,56496XX,5649650.0,100
10200435,3063XX,306350.0,56700XX,5670050.0,100
10200459,2988XX,298850.0,56560XX,5656050.0,100
10200514,3038XX,303850.0,56732XX,5673250.0,100
10200526,3072XX,307250.0,56736XX,5673650.0,100
10200538,3042XX,304250.0,56671XX,5667150.0,100
10200540,292554,292554.0,5660353,5660353.0,1
10200563,3011XX,301150.0,56451XX,5645150.0,100
10200575,3040XX,304050.0,56467XX,5646750.0,100
10200617,3167XX,316750.0,56540XX,5654050.0,100
10200630,3168XX,316850.0,56559XX,5655950.0,100
10200654,2992XX,299250.0,56370XX,5637050.0,100
10200666,2948XX,294850.0,56503XX,5650350.0,100
10200680,3321XX,332150.0,56295XX,5629550.0,100
10200691,330145,330145.0,5628796,5628796.0,1
10200708,3272XX,327250.0,55974XX,5597450.0,100
10200710,3026XX,302650.0,56712XX,5671250.0,100
10200721,3026XX,302650.0,56712XX,5671250.0,100
10200745,3126XX,312650.0,56644XX,5664450.0,100
10200757,3126XX,312650.0,56644XX,5664450.0,100
10200794,3187XX,318750.0,56591XX,5659150.0,100
10200800,318711,318711.0,5659199,5659199.0,1
10200824,2991XX,299150.0,56418XX,5641850.0,100
10200848,2966XX,296650.0,56431XX,5643150.0,100
10200850,3034XX,303450.0,56398XX,5639850.0,100
10200861,3034XX,303450.0,56398XX,5639850.0,100
10200915,3092XX,309250.0,56452XX,5645250.0,100
10200940,297814,297814.0,5651707,5651707.0,1
10200952,2978XX,297850.0,56517XX,5651750.0,100
10200976,2959XX,295950.0,56526XX,5652650.0,100
10200988,3211XX,321150.0,56270XX,5627050.0,100
10200990,3216XX,321650.0,56272XX,5627250.0,100
10201002,3224XX,322450.0,56275XX,5627550.0,100
10201014,3227XX,322750.0,56276XX,5627650.0,100
10201026,323415,323415.0,5627552,5627552.0,1
10201038,3207XX,320750.0,56328XX,5632850.0,100
10201040,3209XX,320950.0,56332XX,5633250.0,100
10201117,3208XX,320850.0,56398XX,5639850.0,100
10201130,3145XX,314550.0,56436XX,5643650.0,100
10201142,3145XX,314550.0,56436XX,5643650.0,100
10201210,3085XX,308550.0,56507XX,5650750.0,100
10201221,3087XX,308750.0,56507XX,5650750.0,100
10201233,3089XX,308950.0,56508XX,5650850.0,100
10201245,3091XX,309150.0,56509XX,5650950.0,100
10201269,3120XX,312050.0,56455XX,5645550.0,100
10201282,311065,311065.0,5664060,5664060.0,1
10201294,313304,313304.0,5667816,5667816.0,1
10201300,299236,299236.0,5656418,5656418.0,1
10201312,305437,305437.0,5670245,5670245.0,1
10201324,3064XX,306450.0,56657XX,5665750.0,100
10201348,315454,315454.0,5662258,5662258.0,1
10201385,309413,309413.0,5658091,5658091.0,1
10201415,3088XX,308850.0,56614XX,5661450.0,100
10201518,293784,293784.0,5645602,5645602.0,1
10201531,309284,309284.0,5663644,5663644.0,1
10201567,3272XX,327250.0,55973XX,5597350.0,100
10201695,3153XX,315350.0,56634XX,5663450.0,100
10201701,3061XX,306150.0,56077XX,5607750.0,100
10201713,2826XX,282650.0,56588XX,5658850.0,100
10201725,2826XX,282650.0,56588XX,5658850.0,100
10201737,2826XX,282650.0,56588XX,5658850.0,100
10201749,2826XX,282650.0,56588XX,5658850.0,100
10201804,3093XX,309350.0,56702XX,5670250.0,100
10201865,3000XX,300050.0,56575XX,5657550.0,100
10201877,3020XX,302050.0,56582XX,5658250.0,100
10201889,2826XX,282650.0,56587XX,5658750.0,100
10201890,2971XX,297150.0,56661XX,5666150.0,100
10201907,3063XX,306350.0,56571XX,5657150.0,100
10201919,3063XX,306350.0,56574XX,5657450.0,100
10201920,329774,329774.0,5607285,5607285.0,1
10201932,2954XX,295450.0,56284XX,5628450.0,100
10201970,3178XX,317850.0,56421XX,5642150.0,100
10201981,3182XX,318250.0,56425XX,5642550.0,100
10201993,3182XX,318250.0,56425XX,5642550.0,100
10202006,3180XX,318050.0,56425XX,5642550.0,100
10202018,3188XX,318850.0,56424XX,5642450.0,100
10202020,3188XX,318850.0,56424XX,5642450.0,100
10202031,3184XX,318450.0,56420XX,5642050.0,100
10202043,3179XX,317950.0,56428XX,5642850.0,100
10202055,3176XX,317650.0,56427XX,5642750.0,100
10202067,3175XX,317550.0,56425XX,5642550.0,100
10202079,3171XX,317150.0,56422XX,5642250.0,100
10202080,3171XX,317150.0,56422XX,5642250.0,100
10202092,3171XX,317150.0,56422XX,5642250.0,100
10202109,3171XX,317150.0,56422XX,5642250.0,100
10202110,3176XX,317650.0,56432XX,5643250.0,100
10202122,3172XX,317250.0,56428XX,5642850.0,100
10202134,3180XX,318050.0,56436XX,5643650.0,100
10202146,3180XX,318050.0,56436XX,5643650.0,100
10202158,3180XX,318050.0,56436XX,5643650.0,100
10202160,3167XX,316750.0,56424XX,5642450.0,100
10202171,3167XX,316750.0,56424XX,5642450.0,100
10202183,316788,316788.0,5642443,5642443.0,1
10202195,3166XX,316650.0,56418XX,5641850.0,100
10202201,3167XX,316750.0,56417XX,5641750.0,100
10202213,3164XX,316450.0,56413XX,5641350.0,100
10202225,3166XX,316650.0,56413XX,5641350.0,100
10202237,3158XX,315850.0,56412XX,5641250.0,100
10202249,3196XX,319650.0,56410XX,5641050.0,100
10202250,3196XX,319650.0,56410XX,5641050.0,100
10202262,3197XX,319750.0,56410XX,5641050.0,100
10202274,3197XX,319750.0,56410XX,5641050.0,100
10202286,3196XX,319650.0,56409XX,5640950.0,100
10202298,3197XX,319750.0,56409XX,5640950.0,100
10202304,3195XX,319550.0,56409XX,5640950.0,100
10202316,3194XX,319450.0,56409XX,5640950.0,100
10202328,3195XX,319550.0,56406XX,5640650.0,100
10202330,3200XX,320050.0,56404XX,5640450.0,100
10202341,3201XX,320150.0,56411XX,5641150.0,100
10202353,3189XX,318950.0,56426XX,5642650.0,100
10202365,3189XX,318950.0,56426XX,5642650.0,100
10202377,3187XX,318750.0,56425XX,5642550.0,100
10202389,3186XX,318650.0,56426XX,5642650.0,100
10202390,3185XX,318550.0,56427XX,5642750.0,100
10202407,3183XX,318350.0,56428XX,5642850.0,100
10202419,3183XX,318350.0,56428XX,5642850.0,100
10202420,3180XX,318050.0,56430XX,5643050.0,100
10202432,3177XX,317750.0,56433XX,5643350.0,100
10202444,3175XX,317550.0,56431XX,5643150.0,100
10202456,3178XX,317850.0,56424XX,5642450.0,100
10202468,3181XX,318150.0,56424XX,5642450.0,100
10202470,3181XX,318150.0,56424XX,5642450.0,100
10202481,3188XX,318850.0,56421XX,5642150.0,100
10202493,3186XX,318650.0,56420XX,5642050.0,100
10202500,3194XX,319450.0,56419XX,5641950.0,100
10202511,3189XX,318950.0,56416XX,5641650.0,100
10202523,3188XX,318850.0,56418XX,5641850.0,100
10202535,3188XX,318850.0,56418XX,5641850.0,100
10202547,3188XX,318850.0,56418XX,5641850.0,100
10202559,3187XX,318750.0,56417XX,5641750.0,100
10202584,3182XX,318250.0,56417XX,5641750.0,100
10202596,3182XX,318250.0,56417XX,5641750.0,100
10202626,3179XX,317950.0,56417XX,5641750.0,100
10202638,3179XX,317950.0,56417XX,5641750.0,100
10202640,3198XX,319850.0,56410XX,5641050.0,100
10202651,3198XX,319850.0,56410XX,5641050.0,100
10202663,319753,319753.0,5641310,5641310.0,1
10202675,3209XX,320950.0,56408XX,5640850.0,100
10202687,2921XX,292150.0,56474XX,5647450.0,100
10202699,2921XX,292150.0,56474XX,5647450.0,100
10202705,2921XX,292150.0,56474XX,5647450.0,100
10202717,2921XX,292150.0,56474XX,5647450.0,100
10202729,3018XX,301850.0,56690XX,5669050.0,100
10202730,3017XX,301750.0,56690XX,5669050.0,100
10202742,3035XX,303550.0,56658XX,5665850.0,100
10202754,3035XX,303550.0,56658XX,5665850.0,100
10202766,3244XX,324450.0,55841XX,5584150.0,100
10202778,340181,340181.0,5582112,5582112.0,1
